query,listing_id,text_similarity,rating,rating_norm,review_count,review_count_norm,reviews_per_month,reviews_per_month_norm,availability_365,availability_365_norm,price,price_norm,price_fit,accommodates_fit,location_match,property_type_match,room_type_match,flexible_cancellation_match,instant_bookable_match,wifi_match,family_home_match,query_wants_wifi,query_wants_family_friendly,preferred_entire_home_match,query_wants_cheap,query_wants_good_reviews,query_wants_flexible_cancellation,query_wants_instant_bookable,query_prefers_entire_home,rule_score,label
entire place near beach in Manly,16431227,0.0,97.0,0.97,7.0,0.014,0.53,0.053000000000000005,193.0,0.5287671232876713,186.0,0.186,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3454,0
entire place near beach in Manly,16442646,0.0,90.0,0.9,9.0,0.018,0.41,0.040999999999999995,82.0,0.22465753424657534,75.0,0.075,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3318,0
entire place near beach in Manly,16458203,0.0,88.0,0.88,31.0,0.062,1.34,0.134,316.0,0.8657534246575342,80.0,0.08,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3322,0
entire place near beach in Manly,16458756,0.0,90.0,0.9,33.0,0.066,1.44,0.144,193.0,0.5287671232876713,180.0,0.18,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3366,0
entire place near beach in Manly,16465010,0.0,93.0,0.93,20.0,0.04,1.39,0.13899999999999998,283.0,0.7753424657534247,599.0,0.599,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.34,0
entire place near beach in Manly,16472359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.7,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.15,0
entire place near beach in Manly,16506600,0.0,99.0,0.99,63.0,0.126,2.74,0.274,86.0,0.2356164383561644,115.0,0.115,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3606,0
entire place near beach in Manly,30361140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.00821917808219178,199.0,0.199,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.15,0
entire place near beach in Manly,16534628,0.0,100.0,1.0,12.0,0.024,0.95,0.095,76.0,0.20821917808219179,120.0,0.12,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3524,0
entire place near beach in Manly,16557053,0.0,97.0,0.97,8.0,0.016,0.34,0.034,93.0,0.2547945205479452,300.0,0.3,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3456,0
entire place near beach in Manly,16569759,0.0,100.0,1.0,2.0,0.004,0.3,0.03,305.0,0.8356164383561644,519.0,0.519,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3504,0
entire place near beach in Manly,16587636,0.0,89.0,0.89,62.0,0.124,2.68,0.268,34.0,0.09315068493150686,120.0,0.12,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3404,0
entire place near beach in Manly,16618005,0.0,100.0,1.0,4.0,0.008,0.17,0.017,94.0,0.25753424657534246,500.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3508,0
entire place near beach in Manly,16635085,0.0,91.0,0.91,11.0,0.022,0.47,0.047,0.0,0.0,235.0,0.235,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3342,0
entire place near beach in Manly,16708536,0.0,92.0,0.92,148.0,0.296,6.38,0.638,183.0,0.5013698630136987,203.0,0.203,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3636,0
entire place near beach in Manly,16786363,0.0,93.0,0.93,3.0,0.006,0.16,0.016,53.0,0.14520547945205478,137.0,0.137,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3366,0
entire place near beach in Manly,16858800,0.0,97.0,0.97,86.0,0.172,4.69,0.46900000000000003,19.0,0.052054794520547946,154.0,0.154,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3612,0
entire place near beach in Manly,16887214,0.0,100.0,1.0,3.0,0.006,2.65,0.265,112.0,0.30684931506849317,400.0,0.4,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3506,0
entire place near beach in Manly,16920048,0.0,97.0,0.97,24.0,0.048,1.08,0.10800000000000001,250.0,0.684931506849315,136.0,0.136,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3488,0
entire place near beach in Manly,16965836,0.0,90.0,0.9,3.0,0.006,0.14,0.014000000000000002,349.0,0.9561643835616438,267.0,0.267,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3306,0
entire place near beach in Manly,17000428,0.0,96.0,0.96,5.0,0.01,0.23,0.023,0.0,0.0,98.0,0.098,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.343,0
